 axis     ma
 658.06   0.242758535803E-01
 658.42   0.242993983710E-01
 658.78   0.243229797527E-01
 659.14   0.243465978026E-01
 659.50   0.243702525984E-01
 659.86   0.243939442178E-01
 660.22   0.244176727386E-01
 660.58   0.244414382391E-01
 660.94   0.244652407976E-01
 661.30   0.244890804926E-01
 661.66   0.245129574029E-01
 662.02   0.245368716075E-01
 662.38   0.245608231856E-01
 662.74   0.245848122166E-01
 663.10   0.246088387800E-01
 663.46   0.246329029558E-01
 663.82   0.246570048240E-01
 664.18   0.246811444647E-01
 664.54   0.247053219586E-01
 664.90   0.247295373862E-01
 665.26   0.247537908284E-01
 665.62   0.247780823665E-01
 665.98   0.248024120817E-01
 666.34   0.248267800555E-01
 666.70   0.248511863697E-01
 667.06   0.248756311064E-01
 667.42   0.249001143478E-01
 667.78   0.249246361762E-01
 668.14   0.249491966743E-01
 668.50   0.249737959250E-01
 668.86   0.249984340115E-01
 669.22   0.250231110169E-01
 669.58   0.250478270250E-01
 669.94   0.250725821194E-01
 670.30   0.250973763841E-01
 670.66   0.251222099034E-01
 671.02   0.251470827617E-01
 671.38   0.251719950438E-01
 671.74   0.251969468344E-01
 672.10   0.252219382189E-01
 672.46   0.252469692824E-01
 672.82   0.252720401107E-01
 673.18   0.252971507896E-01
 673.54   0.253223014052E-01
 673.90   0.253474920436E-01
 674.26   0.253727227916E-01
 674.62   0.253979937358E-01
 674.98   0.254233049633E-01
 675.34   0.254486565613E-01
 675.70   0.254740486173E-01
 676.06   0.254994812190E-01
 676.42   0.255249544543E-01
 676.78   0.255504684115E-01
 677.14   0.255760231791E-01
 677.50   0.256016188456E-01
 677.86   0.256272555000E-01
 678.22   0.256529332315E-01
 678.58   0.256786521295E-01
 678.94   0.257044122836E-01
 679.30   0.257302137837E-01
 679.66   0.257560567201E-01
 680.02   0.257819411830E-01
 680.38   0.258078672631E-01
 680.74   0.258338350514E-01
 681.10   0.258598446388E-01
 681.46   0.258858961169E-01
 681.82   0.259119895773E-01
 682.18   0.259381251119E-01
 682.54   0.259643028127E-01
 682.90   0.259905227722E-01
 683.26   0.260167850831E-01
 683.62   0.260430898383E-01
 683.98   0.260694371309E-01
 684.34   0.260958270543E-01
 684.70   0.261222597023E-01
 685.06   0.261487351687E-01
 685.42   0.261752535478E-01
 685.78   0.262018149340E-01
 686.14   0.262284194220E-01
 686.50   0.262550671069E-01
 686.86   0.262817580838E-01
 687.22   0.263084924482E-01
 687.58   0.263352702960E-01
 687.94   0.263620917232E-01
 688.30   0.263889568260E-01
 688.66   0.264158657011E-01
 689.02   0.264428184453E-01
 689.38   0.264698151556E-01
 689.74   0.264968559295E-01
 690.10   0.265239408647E-01
 690.46   0.265510700590E-01
 690.82   0.265782436106E-01
 691.18   0.266054616180E-01
 691.54   0.266327241800E-01
 691.90   0.266600313955E-01
 692.26   0.266873833639E-01
 692.62   0.267147801847E-01
 692.98   0.267422219578E-01
 693.34   0.267697087833E-01
 693.70   0.267972407616E-01
 694.06   0.268248179934E-01
 694.42   0.268524405797E-01
 694.78   0.268801086217E-01
 695.14   0.269078222210E-01
 695.50   0.269355814794E-01
 695.86   0.269633864990E-01
 696.22   0.269912373822E-01
 696.58   0.270191342317E-01
 696.94   0.270470771505E-01
 697.30   0.270750662418E-01
 697.66   0.271031016092E-01
 698.02   0.271311833565E-01
 698.38   0.271593115878E-01
 698.74   0.271874864077E-01
 699.10   0.272157079208E-01
 699.46   0.272439762322E-01
 699.82   0.272722914471E-01
 700.18   0.273006536712E-01
 700.54   0.273290630104E-01
 700.90   0.273575195709E-01
 701.26   0.273860234593E-01
 701.62   0.274145747823E-01
 701.98   0.274431736471E-01
 702.34   0.274718201611E-01
 702.70   0.275005144320E-01
 703.06   0.275292565679E-01
 703.42   0.275580466771E-01
 703.78   0.275868848682E-01
 704.14   0.276157712503E-01
 704.50   0.276447059325E-01
 704.86   0.276736890246E-01
 705.22   0.277027206363E-01
 705.58   0.277318008778E-01
 705.94   0.277609298598E-01
 706.30   0.277901076929E-01
 706.66   0.278193344885E-01
 707.02   0.278486103579E-01
 707.38   0.278779354130E-01
 707.74   0.279073097658E-01
 708.10   0.279367335288E-01
 708.46   0.279662068147E-01
 708.82   0.279957297366E-01
 709.18   0.280253024080E-01
 709.54   0.280549249425E-01
 709.90   0.280845974541E-01
 710.26   0.281143200573E-01
 710.62   0.281440928668E-01
 710.98   0.281739159977E-01
 711.34   0.282037895651E-01
 711.70   0.282337136850E-01
 712.06   0.282636884733E-01
 712.42   0.282937140464E-01
 712.78   0.283237905209E-01
 713.14   0.283539180140E-01
 713.50   0.283840966430E-01
 713.86   0.284143265256E-01
 714.22   0.284446077799E-01
 714.58   0.284749405243E-01
 714.94   0.285053248776E-01
 715.30   0.285357609587E-01
 715.66   0.285662488872E-01
 716.02   0.285967887828E-01
 716.38   0.286273807657E-01
 716.74   0.286580249563E-01
 717.10   0.286887214754E-01
 717.46   0.287194704443E-01
 717.82   0.287502719844E-01
 718.18   0.287811262176E-01
 718.54   0.288120332663E-01
 718.90   0.288429932528E-01
 719.26   0.288740063003E-01
 719.62   0.289050725320E-01
 719.98   0.289361920716E-01
 720.34   0.289673650431E-01
 720.70   0.289985915710E-01
 721.06   0.290298717798E-01
 721.42   0.290612057949E-01
 721.78   0.290925937416E-01
 722.14   0.291240357459E-01
 722.50   0.291555319338E-01
 722.86   0.291870824322E-01
 723.22   0.292186873678E-01
 723.58   0.292503468680E-01
 723.94   0.292820610606E-01
 724.30   0.293138300736E-01
 724.66   0.293456540356E-01
 725.02   0.293775330752E-01
 725.38   0.294094673218E-01
 725.74   0.294414569049E-01
 726.10   0.294735019546E-01
 726.46   0.295056026012E-01
 726.82   0.295377589754E-01
 727.18   0.295699712084E-01
 727.54   0.296022394317E-01
 727.90   0.296345637772E-01
 728.26   0.296669443773E-01
 728.62   0.296993813645E-01
 728.98   0.297318748721E-01
 729.34   0.297644250334E-01
 729.70   0.297970319824E-01
 730.06   0.298296958533E-01
 730.42   0.298624167809E-01
 730.78   0.298951949001E-01
 731.14   0.299280303465E-01
 731.50   0.299609232559E-01
 731.86   0.299938737646E-01
 732.22   0.300268820093E-01
 732.58   0.300599481271E-01
 732.94   0.300930722555E-01
 733.30   0.301262545324E-01
 733.66   0.301594950961E-01
 734.02   0.301927940854E-01
 734.38   0.302261516395E-01
 734.74   0.302595678978E-01
 735.10   0.302930430004E-01
 735.46   0.303265770877E-01
 735.82   0.303601703005E-01
 736.18   0.303938227800E-01
 736.54   0.304275346680E-01
 736.90   0.304613061065E-01
 737.26   0.304951372381E-01
 737.62   0.305290282056E-01
 737.98   0.305629791525E-01
 738.34   0.305969902226E-01
 738.70   0.306310615602E-01
 739.06   0.306651933098E-01
 739.42   0.306993856167E-01
 739.78   0.307336386264E-01
 740.14   0.307679524848E-01
 740.50   0.308023273385E-01
 740.86   0.308367633342E-01
 741.22   0.308712606193E-01
 741.58   0.309058193416E-01
 741.94   0.309404396493E-01
 742.30   0.309751216910E-01
 742.66   0.310098656159E-01
 743.02   0.310446715734E-01
 743.38   0.310795397137E-01
 743.74   0.311144701872E-01
 744.10   0.311494631448E-01
 744.46   0.311845187380E-01
 744.82   0.312196371185E-01
 745.18   0.312548184386E-01
 745.54   0.312900628512E-01
 745.90   0.313253705095E-01
 746.26   0.313607415672E-01
 746.62   0.313961761785E-01
 746.98   0.314316744980E-01
 747.34   0.314672366808E-01
 747.70   0.315028628825E-01
 748.06   0.315385532592E-01
 748.42   0.315743079675E-01
 748.78   0.316101271643E-01
 749.14   0.316460110072E-01
 749.50   0.316819596541E-01
 749.86   0.317179732636E-01
 750.23   0.317540519945E-01
 750.59   0.317901960064E-01
 750.95   0.318264054592E-01
 751.31   0.318626805132E-01
 751.67   0.318990213295E-01
 752.03   0.319354280694E-01
 752.39   0.319719008949E-01
 752.75   0.320084399683E-01
 753.11   0.320450454527E-01
 753.47   0.320817175113E-01
 753.83   0.321184563082E-01
 754.19   0.321552620077E-01
 754.55   0.321921347748E-01
 754.91   0.322290747750E-01
 755.27   0.322660821741E-01
 755.63   0.323031571388E-01
 755.99   0.323402998359E-01
 756.35   0.323775104330E-01
 756.71   0.324147890980E-01
 757.07   0.324521359997E-01
 757.43   0.324895513069E-01
 757.79   0.325270351894E-01
 758.15   0.325645878173E-01
 758.51   0.326022093611E-01
 758.87   0.326398999922E-01
 759.23   0.326776598821E-01
 759.59   0.327154892032E-01
 759.95   0.327533881284E-01
 760.31   0.327913568308E-01
 760.67   0.328293954844E-01
 761.03   0.328675042636E-01
 761.39   0.329056833433E-01
 761.75   0.329439328992E-01
 762.11   0.329822531071E-01
 762.47   0.330206441439E-01
 762.83   0.330591061865E-01
 763.19   0.330976394129E-01
 763.55   0.331362440011E-01
 763.91   0.331749201301E-01
 764.27   0.332136679794E-01
 764.63   0.332524877287E-01
 764.99   0.332913795588E-01
 765.35   0.333303436506E-01
 765.71   0.333693801860E-01
 766.07   0.334084893470E-01
 766.43   0.334476713166E-01
 766.79   0.334869262782E-01
 767.15   0.335262544156E-01
 767.51   0.335656559136E-01
 767.87   0.336051309572E-01
 768.23   0.336446797322E-01
 768.59   0.336843024250E-01
 768.95   0.337239992223E-01
 769.31   0.337637703117E-01
 769.67   0.338036158814E-01
 770.03   0.338435361200E-01
 770.39   0.338835312168E-01
 770.75   0.339236013617E-01
 771.11   0.339637467452E-01
 771.47   0.340039675585E-01
 771.83   0.340442639933E-01
 772.19   0.340846362419E-01
 772.55   0.341250844971E-01
 772.91   0.341656089527E-01
 773.27   0.342062098028E-01
 773.63   0.342468872422E-01
 773.99   0.342876414662E-01
 774.35   0.343284726711E-01
 774.71   0.343693810533E-01
 775.07   0.344103668104E-01
 775.43   0.344514301401E-01
 775.79   0.344925712410E-01
 776.15   0.345337903125E-01
 776.51   0.345750875542E-01
 776.87   0.346164631669E-01
 777.23   0.346579173514E-01
 777.59   0.346994503098E-01
 777.95   0.347410622443E-01
 778.31   0.347827533582E-01
 778.67   0.348245238550E-01
 779.03   0.348663739394E-01
 779.39   0.349083038162E-01
 779.75   0.349503136913E-01
 780.11   0.349924037710E-01
 780.47   0.350345742624E-01
 780.83   0.350768253733E-01
 781.19   0.351191573119E-01
 781.55   0.351615702875E-01
 781.91   0.352040645098E-01
 782.27   0.352466401892E-01
 782.63   0.352892975368E-01
 782.99   0.353320367645E-01
 783.35   0.353748580847E-01
 783.71   0.354177617107E-01
 784.07   0.354607478563E-01
 784.43   0.355038167361E-01
 784.79   0.355469685654E-01
 785.15   0.355902035602E-01
 785.51   0.356335219372E-01
 785.87   0.356769239137E-01
 786.23   0.357204097080E-01
 786.59   0.357639795387E-01
 786.95   0.358076336255E-01
 787.31   0.358513721886E-01
 787.67   0.358951954489E-01
 788.03   0.359391036283E-01
 788.39   0.359830969491E-01
 788.75   0.360271756345E-01
 789.11   0.360713399084E-01
 789.47   0.361155899954E-01
 789.83   0.361599261210E-01
 790.19   0.362043485112E-01
 790.55   0.362488573928E-01
 790.91   0.362934529936E-01
 791.27   0.363381355418E-01
 791.63   0.363829052666E-01
 791.99   0.364277623979E-01
 792.35   0.364727071662E-01
 792.71   0.365177398031E-01
 793.07   0.365628605406E-01
 793.43   0.366080696117E-01
 793.79   0.366533672501E-01
 794.15   0.366987536902E-01
 794.51   0.367442291674E-01
 794.87   0.367897939177E-01
 795.23   0.368354481778E-01
 795.59   0.368811921855E-01
 795.95   0.369270261791E-01
 796.31   0.369729503978E-01
 796.67   0.370189650816E-01
 797.03   0.370650704714E-01
 797.39   0.371112668086E-01
 797.75   0.371575543358E-01
 798.11   0.372039332961E-01
 798.47   0.372504039336E-01
 798.83   0.372969664931E-01
 799.19   0.373436212203E-01
 799.55   0.373903683617E-01
 799.91   0.374372081645E-01
 800.27   0.374841408771E-01
 800.63   0.375311667482E-01
 800.99   0.375782860278E-01
 801.35   0.376254989665E-01
 801.71   0.376728058159E-01
 802.07   0.377202068282E-01
 802.43   0.377677022566E-01
 802.79   0.378152923553E-01
 803.15   0.378629773790E-01
 803.51   0.379107575837E-01
 803.87   0.379586332259E-01
 804.23   0.380066045632E-01
 804.59   0.380546718538E-01
 804.95   0.381028353571E-01
 805.31   0.381510953332E-01
 805.67   0.381994520431E-01
 806.03   0.382479057486E-01
 806.39   0.382964567127E-01
 806.75   0.383451051988E-01
 807.11   0.383938514717E-01
 807.47   0.384426957968E-01
 807.83   0.384916384405E-01
 808.19   0.385406796700E-01
 808.55   0.385898197536E-01
 808.91   0.386390589603E-01
 809.27   0.386883975602E-01
 809.63   0.387378358243E-01
 809.99   0.387873740243E-01
 810.35   0.388370124332E-01
 810.71   0.388867513246E-01
 811.07   0.389365909733E-01
 811.43   0.389865316548E-01
 811.79   0.390365736458E-01
 812.15   0.390867172237E-01
 812.51   0.391369626670E-01
 812.87   0.391873102551E-01
 813.23   0.392377602684E-01
 813.59   0.392883129883E-01
 813.95   0.393389686971E-01
 814.31   0.393897276780E-01
 814.67   0.394405902154E-01
 815.03   0.394915565945E-01
 815.39   0.395426271015E-01
 815.75   0.395938020237E-01
 816.11   0.396450816492E-01
 816.47   0.396964662673E-01
 816.83   0.397479561682E-01
 817.19   0.397995516431E-01
 817.55   0.398512529843E-01
 817.91   0.399030604850E-01
 818.27   0.399549744394E-01
 818.63   0.400069951429E-01
 818.99   0.400591228918E-01
 819.35   0.401113579834E-01
 819.71   0.401637007160E-01
 820.07   0.402161513892E-01
 820.43   0.402687103034E-01
 820.79   0.403213777600E-01
 821.15   0.403741540617E-01
 821.51   0.404270395121E-01
 821.87   0.404800344158E-01
 822.23   0.405331390787E-01
 822.59   0.405863538075E-01
 822.95   0.406396789101E-01
 823.31   0.406931146955E-01
 823.67   0.407466614738E-01
 824.03   0.408003195561E-01
 824.39   0.408540892547E-01
 824.75   0.409079708829E-01
 825.11   0.409619647552E-01
 825.47   0.410160711870E-01
 825.83   0.410702904951E-01
 826.19   0.411246229973E-01
 826.55   0.411790690124E-01
 826.91   0.412336288605E-01
 827.27   0.412883028627E-01
 827.63   0.413430913413E-01
 827.99   0.413979946198E-01
 828.35   0.414530130228E-01
 828.71   0.415081468759E-01
 829.07   0.415633965061E-01
 829.43   0.416187622414E-01
 829.79   0.416742444110E-01
 830.15   0.417298433453E-01
 830.51   0.417855593759E-01
 830.87   0.418413928355E-01
 831.23   0.418973440580E-01
 831.59   0.419534133785E-01
 831.95   0.420096011334E-01
 832.31   0.420659076601E-01
 832.67   0.421223332973E-01
 833.03   0.421788783851E-01
 833.39   0.422355432645E-01
 833.75   0.422923282778E-01
 834.11   0.423492337687E-01
 834.47   0.424062600821E-01
 834.83   0.424634075638E-01
