axis	ma      
764.27	3.32E-02
764.63	3.33E-02
764.99	3.33E-02
765.35	3.33E-02
765.71	3.34E-02
766.07	3.34E-02
766.43	3.34E-02
766.79	3.35E-02
767.15	3.35E-02
767.51	3.36E-02
767.87	3.36E-02
768.23	3.36E-02
768.59	3.37E-02
768.95	3.37E-02
769.31	3.38E-02
769.67	3.38E-02
770.03	3.38E-02
770.39	3.39E-02
770.75	3.39E-02
771.11	3.40E-02
771.47	3.40E-02
771.83	3.40E-02
772.19	3.41E-02
772.55	3.41E-02
772.91	3.42E-02
773.27	3.42E-02
773.63	3.42E-02
773.99	3.43E-02
774.35	3.43E-02
774.71	3.44E-02
775.07	3.44E-02
775.43	3.45E-02
775.79	3.45E-02
776.15	3.45E-02
776.51	3.46E-02
776.87	3.46E-02
777.23	3.47E-02
777.59	3.47E-02
777.95	3.47E-02
778.31	3.48E-02
778.67	3.48E-02
779.03	3.49E-02
779.39	3.49E-02
779.75	3.50E-02
780.11	3.50E-02
780.47	3.50E-02
780.83	3.51E-02
781.19	3.51E-02
781.55	3.52E-02
781.91	3.52E-02
782.27	3.52E-02
782.63	3.53E-02
782.99	3.53E-02
783.35	3.54E-02
783.71	3.54E-02
784.07	3.55E-02
784.43	3.55E-02
784.79	3.55E-02
785.15	3.56E-02
785.51	3.56E-02
785.87	3.57E-02
786.23	3.57E-02
786.59	3.58E-02
786.95	3.58E-02
787.31	3.59E-02
787.67	3.59E-02
788.03	3.59E-02
788.39	3.60E-02
788.75	3.60E-02
789.11	3.61E-02
789.47	3.61E-02
789.83	3.62E-02
790.19	3.62E-02
790.55	3.62E-02
790.91	3.63E-02
791.27	3.63E-02
791.63	3.64E-02
791.99	3.64E-02
792.35	3.65E-02
792.71	3.65E-02
793.07	3.66E-02
793.43	3.66E-02
793.79	3.67E-02
794.15	3.67E-02
794.51	3.67E-02
794.87	3.68E-02
795.23	3.68E-02
795.59	3.69E-02
795.95	3.69E-02
796.31	3.70E-02
796.67	3.70E-02
797.03	3.71E-02
797.39	3.71E-02
797.75	3.72E-02
798.11	3.72E-02
798.47	3.73E-02
798.83	3.73E-02
799.19	3.73E-02
799.55	3.74E-02
799.91	3.74E-02
800.27	3.75E-02
800.63	3.75E-02
800.99	3.76E-02
801.35	3.76E-02
801.71	3.77E-02
802.07	3.77E-02
802.43	3.78E-02
802.79	3.78E-02
803.15	3.79E-02
803.51	3.79E-02
803.87	3.80E-02
804.23	3.80E-02
804.59	3.81E-02
804.95	3.81E-02
805.31	3.82E-02
805.67	3.82E-02
806.03	3.82E-02
806.39	3.83E-02
806.75	3.83E-02
807.11	3.84E-02
807.47	3.84E-02
807.83	3.85E-02
808.19	3.85E-02
808.55	3.86E-02
808.91	3.86E-02
809.27	3.87E-02
809.63	3.87E-02
809.99	3.88E-02
810.35	3.88E-02
810.71	3.89E-02
811.07	3.89E-02
811.43	3.90E-02
811.79	3.90E-02
812.15	3.91E-02
812.51	3.91E-02
812.87	3.92E-02
813.23	3.92E-02
813.59	3.93E-02
813.95	3.93E-02
814.31	3.94E-02
814.67	3.94E-02
815.03	3.95E-02
815.39	3.95E-02
815.75	3.96E-02
816.11	3.96E-02
816.47	3.97E-02
816.83	3.97E-02
817.19	3.98E-02
817.55	3.99E-02
817.91	3.99E-02
818.27	4.00E-02
818.63	4.00E-02
818.99	4.01E-02
819.35	4.01E-02
819.71	4.02E-02
820.07	4.02E-02
820.43	4.03E-02
820.79	4.03E-02
821.15	4.04E-02
821.51	4.04E-02
821.87	4.05E-02
822.23	4.05E-02
822.59	4.06E-02
822.95	4.06E-02
823.31	4.07E-02
823.67	4.07E-02
824.03	4.08E-02
824.39	4.09E-02
824.75	4.09E-02
825.11	4.10E-02
825.47	4.10E-02
825.83	4.11E-02
826.19	4.11E-02
826.55	4.12E-02
826.91	4.12E-02
827.27	4.13E-02
827.63	4.13E-02
827.99	4.14E-02
828.35	4.15E-02
828.71	4.15E-02
829.07	4.16E-02
829.43	4.16E-02
829.79	4.17E-02
830.15	4.17E-02
830.51	4.18E-02
830.87	4.18E-02
831.23	4.19E-02
831.59	4.20E-02
831.95	4.20E-02
832.31	4.21E-02
832.67	4.21E-02
833.03	4.22E-02
833.39	4.22E-02
833.75	4.23E-02
834.11	4.23E-02
834.47	4.24E-02
834.83	4.25E-02
835.19	4.25E-02
